Output File,Exists,Used In Paper Section,Description,Notes
reports/tables/table_1_etf_universe.csv,True,Data and Asset Universe,ETF universe metadata.,
reports/tables/table_2_main_performance.csv,True,Empirical Results,Main four-strategy performance table.,
reports/figures/figure_1_cumulative_net_value.png,True,Empirical Results,Cumulative net value for four strategies.,
reports/figures/figure_2_drawdown_curve.png,True,Empirical Results,Drawdown curves for four strategies.,
reports/tables/table_3_drawdown_summary.csv,True,Drawdown Analysis,Max drawdown period summary.,
reports/tables/major_drawdown_periods.csv,True,Drawdown Analysis,Major drawdown period attribution.,
reports/figures/figure_3_cash_weight.png,True,Exposure Diagnostics,Cash weight over time.,
reports/figures/figure_4_group_exposure.png,True,Exposure Diagnostics,Proposed strategy group exposures.,
reports/figures/portfolio_weights.png,True,Exposure Diagnostics,Proposed strategy ETF weights.,
reports/figures/risky_exposure.png,True,Exposure Diagnostics,Risky exposure over time.,
reports/tables/exposure_summary.csv,True,Exposure Diagnostics,Exposure summary table.,
reports/figures/figure_5_predicted_vs_realized_volatility.png,True,Risk Forecast Diagnostics,Predicted vs realized volatility.,
reports/tables/table_5_risk_forecast_diagnostics.csv,True,Risk Forecast Diagnostics,Risk forecast summary.,
reports/tables/table_4_signal_diagnostics.csv,True,Signal Diagnostics,Signal IC summary.,
reports/figures/figure_6_signal_ic_over_time.png,True,Signal Diagnostics,Signal IC over time.,
reports/tables/top_bottom_signal_return.csv,True,Signal Diagnostics,Top-minus-bottom signal returns.,
reports/tables/turnover_summary.csv,True,Turnover and Transaction Costs,Turnover summary.,
reports/figures/figure_8_turnover_over_time.png,True,Turnover and Transaction Costs,Turnover over time.,
reports/tables/transaction_cost_drag.csv,True,Turnover and Transaction Costs,Cost drag summary.,
reports/tables/table_6_target_vol_sensitivity.csv,True,Sensitivity Analysis,Target-volatility sensitivity.,
reports/figures/figure_7_target_vol_sensitivity.png,True,Sensitivity Analysis,Target-volatility cumulative values.,
reports/figures/target_vol_grid_cumulative.png,True,Sensitivity Analysis,Target-volatility cumulative grid.,
reports/figures/target_vol_grid_drawdown.png,True,Sensitivity Analysis,Target-volatility drawdown grid.,
reports/tables/table_7_alpha_scale_sensitivity.csv,True,Sensitivity Analysis,Alpha scale sensitivity.,
reports/tables/table_8_rho_sensitivity.csv,True,Sensitivity Analysis,Robust penalty sensitivity.,
reports/tables/table_9_covariance_sensitivity.csv,True,Sensitivity Analysis,Covariance estimator sensitivity.,
reports/tables/table_10_transaction_cost_sensitivity.csv,True,Sensitivity Analysis,Transaction cost sensitivity.,
reports/tables/table_11_subperiod_performance.csv,True,Subperiod Analysis,Subperiod performance.,
reports/tables/constraint_check.csv,True,Implementation Checks,Constraint and solver checks.,
reports/tables/backtest_timing_check.csv,True,Implementation Checks,No-look-ahead timing checks.,
reports/tables/final_paper_output_inventory.csv,True,Appendix,Final output inventory.,
